¿compras_productos_de_dermocosmética?,¿has_comprado_productos_de_dermocosmética_en_fybeca_alguna_vez?,"cuando_piensas_en_fybeca,_¿qué_tan_asociada_la_percibes_con_productos_de_dermocosmética?",¿cuál_de_las_siguientes_palabras_describe_mejor_a_fybeca_en_dermocosmética?,"la_comunicación_de_fybeca_sobre_dermocosmética_(imágenes,_textos,_promociones)_es:","¿sientes_que_la_comunicación_de_fybeca_aborda_problemas_reales_de_la_piel_(acné,_manchas,_sensibilidad,_envejecimiento,_etc.)?",¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_beneficios_claros_del_producto,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_recomendaciones_según_tipo_de_piel,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_antes_y_después_/_resultados,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_consejos_de_expertos,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_promociones_y_descuentos,¿qué_te_gustaría_ver_más_en_la_comunicación_de_fybeca?:_comparación_entre_productos,¿cómo_percibes_los_precios_de_fybeca_en_dermocosmética?,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_totalmente_en_desacuerdo,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_en_desacuerdo,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_ni_de_acuerdo_ni_en_desacuerdo,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_de_acuerdo,¿qué_factor_influye_más_en_tu_decisión_de_compra_de_productos_dermocosméticos?:_totalmente_de_acuerdo,¿qué_tanto_confías_en_fybeca_como_experta_en_el_cuidado_de_la_piel?,¿crees_que_en_fybeca_puedes_recibir_asesoría_adecuada_para_elegir_productos_dermocosméticos?,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_personal_capacitado,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_recomendaciones_dermatológicas,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_test_de_piel,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_contenido_educativo,¿qué_te_daría_más_confianza_al_comprar_dermocosmética_en_fybeca?:_opiniones_de_otros_clientes,¿qué_debería_mejorar_fybeca_para_que_la_elijas_como_tu_principal_lugar_de_compra_de_dermocosmética?,ciudad:,ciudad
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Económica,Clara,En parte,nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Más bajos que la competencia,"Precio, Calidad",nan,nan,Producto,nan,Algo,En parte,Personal capacitado,nan,nan,nan,nan,"El ascesoramiento,que las,ascesoras deben tener buen servicio al cliente",Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Poco clara,En parte,nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Algo,En parte,Personal capacitado,nan,nan,nan,nan,Más información,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,En parte,nan,nan,nan,nan,nan,Comparación entre productos,Similares,nan,nan,"Precio, Producto",Calidad,nan,Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,"Que los descuentos que se encuentran en su página web, sean los mismos cuando vamos a las farmacias físicas.",Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Económica,Muy clara,"Sí, claramente",Beneficios claros del producto,nan,nan,nan,nan,nan,Más bajos que la competencia,"Precio, Calidad, Producto",nan,nan,nan,nan,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Más variedad,QUITO,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,En parte,Beneficios claros del producto,nan,Antes y después / resultados,Consejos de expertos,nan,Comparación entre productos,No lo sé,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,"Sí, totalmente",nan,nan,Test de piel,Contenido educativo,nan,Un poco los precios. Tener mas descuentos o promociones,Quito,Quito
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,Consejos de expertos,Promociones y descuentos,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Expertos especializados,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Experta,Muy clara,"Sí, claramente",nan,nan,Antes y después / resultados,nan,nan,nan,Similares,"Precio, Calidad, Producto",nan,nan,nan,nan,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Los precios son más caros,Quiti,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Moderna,Clara,En parte,nan,nan,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,nan,Similares,nan,nan,"Precio, Calidad, Producto",nan,nan,Algo,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Test de piel,Quito,Quito
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Poco clara,En parte,nan,nan,nan,nan,nan,Comparación entre productos,Similares,nan,Precio,nan,nan,"Calidad, Producto",Algo,En parte,nan,nan,nan,nan,Opiniones de otros clientes,Integrar hombres a esta sección,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,En parte,nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Algo,En parte,nan,Recomendaciones dermatológicas,nan,nan,nan,Atención no en dermo si no de jefes,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,"Sí, claramente",Beneficios claros del producto,Recomendaciones según tipo de piel,nan,nan,nan,nan,Más bajos que la competencia,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,Test de piel,nan,nan,"Asesores expertos, es decir profesionales",Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Confiable,Clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,nan,Consejos de expertos,Promociones y descuentos,nan,Similares,nan,nan,nan,"Calidad, Producto",Precio,Mucho,"Sí, totalmente",Personal capacitado,nan,Test de piel,nan,nan,Más especificaciones sobre los productos,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Ambato,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Experta,Muy clara,"Sí, claramente",nan,nan,nan,Consejos de expertos,nan,nan,Más altos,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,La atención,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Económica,Poco clara,En parte,Beneficios claros del producto,nan,nan,nan,nan,nan,Similares,nan,nan,"Precio, Calidad, Producto",nan,nan,Algo,No,nan,nan,Test de piel,nan,nan,Los productos de la piel,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Económica,Muy clara,En parte,nan,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,nan,nan,Similares,nan,nan,"Precio, Calidad, Producto",nan,nan,Algo,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Precio,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Moderna,Clara,No,Beneficios claros del producto,Recomendaciones según tipo de piel,nan,Consejos de expertos,nan,nan,Similares,Precio,nan,nan,nan,"Calidad, Producto",Algo,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Personal que este mas capacitado no impulsadoras que buscan solo vender y que mejoren el trato al cliente,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,"Sí, claramente",Beneficios claros del producto,nan,nan,nan,nan,nan,Similares,nan,nan,nan,Precio,"Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Más campañas de descuento,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,En parte,nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,Producto,nan,"Precio, Calidad",Algo,En parte,nan,Recomendaciones dermatológicas,Test de piel,nan,nan,Mas información,Puerto Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Clara,"Sí, claramente",nan,nan,nan,nan,Promociones y descuentos,nan,Más altos,nan,nan,Precio,"Calidad, Producto",nan,Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,Más promociones,Salcedo,Quito
Sí,"No, nunca",Poco asociada,No la asocio con dermocosmética,No la he visto,No,Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,nan,nan,No lo sé,nan,nan,"Precio, Calidad, Producto",nan,nan,Poco,No,Personal capacitado,nan,nan,nan,nan,Ser más explícitos en lo que venden,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Básica,Clara,No,Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,nan,Comparación entre productos,Más altos,nan,nan,nan,nan,"Precio, Calidad, Producto",Algo,No,nan,Recomendaciones dermatológicas,Test de piel,nan,nan,Recomendación de parte de los expertos,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Experta,Muy clara,"Sí, claramente",nan,nan,Antes y después / resultados,nan,nan,nan,Más bajos que la competencia,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,"Es increíble, son los mejores",Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Poco asociada,Confiable,Muy clara,"Sí, claramente",Beneficios claros del producto,Recomendaciones según tipo de piel,nan,nan,nan,nan,Más altos,nan,nan,nan,nan,"Precio, Calidad, Producto",Algo,No,nan,nan,Test de piel,nan,nan,Mejor atención,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,En parte,nan,nan,Antes y después / resultados,nan,nan,nan,Similares,nan,nan,Precio,"Calidad, Producto",nan,Mucho,En parte,nan,Recomendaciones dermatológicas,Test de piel,Contenido educativo,nan,Tipo un beneficio como antes y después cuando una asesora no ayuda a buscar un producto,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Experta,Clara,"Sí, claramente",nan,nan,Antes y después / resultados,nan,nan,nan,Más altos,nan,nan,nan,"Precio, Calidad",Producto,Mucho,En parte,nan,Recomendaciones dermatológicas,nan,nan,nan,Mejor atención del personal a cargo,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Experta,Clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,Precio,Calidad,Producto,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,"Para que Fybeca se convierta en mi lugar principal de compra de dermocosmética, creo que debería enfocarse en: **1. *Asesoría personalizada y experta* - *Dermocosmetólogos en tienda* o una app que te sugiera productos según tu tipo de piel, edad y necesidades específicas. Fybeca ya tiene la iniciativa Fybeca Beauty con asesoría, pero ampliarla con profesionales de la piel haría la diferencia ¹ ². **2. *Variedad de marcas premium y exclusivas* - Incluir más líneas internacionales de dermocosmética (e.g., La Roche-Posay, Vichy, CeraVe) y marcas veganas o cruelty-free, como ya hacen con Creightons y SkinAcademy ³. **3. *Experiencia omnicanal fluida_* - Mejorar la app y sitio web para que el inventario en línea refleje lo que hay en tienda, con opción de *retiro en sucursal* o *delivery en 24 h*. La digitalización y personalización son pilares que Fybeca ya trabaja, pero una ejecución más rápida y sin errores aumenta la confianza ⁴. **4. *Programas de fidelidad y beneficios exclusivos* - Un sistema de puntos que premie la compra recurrente de dermocosmética, con descuentos en marcas específicas, muestras gratis o acceso a webinars con dermatólogos. **5. *Espacios diferenciados y agradables* - Rincones de belleza donde puedas probar productos, con iluminación adecuada y testers de texturas y fragancias. Esto refuerza el concepto “más allá de la venta” que ya promueve Fybeca Beauty **6. *Educación y contenido de valor* - Publicaciones en redes, videos cortos o masterclasses (como la de Andrea Navarrete) que enseñen rutinas de cuidado, cómo elegir activos (niacinamida, retinol, ácido hialurónico), y resuelvan dudas comunes. Si Fybeca logra combinar una *asesoría experta*, *amplia gama premium*, *tecnología sin fricciones* y *beneficios tangibles*, sin duda sería mi lugar de compra principal de dermocosmética.",Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Poco clara,En parte,nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Más altos,"Precio, Calidad, Producto",nan,nan,nan,nan,Algo,En parte,nan,Recomendaciones dermatológicas,nan,nan,nan,Gente con conocimientos de la piel,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,En parte,Beneficios claros del producto,nan,nan,nan,nan,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,En parte,Personal capacitado,nan,nan,nan,nan,Precios más competitivos,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Muy clara,En parte,nan,Recomendaciones según tipo de piel,Antes y después / resultados,nan,Promociones y descuentos,nan,Similares,nan,nan,nan,Precio,"Calidad, Producto",Mucho,En parte,nan,Recomendaciones dermatológicas,Test de piel,nan,nan,Comunicar sobre los días Fybeca de mejor manera y especificar los días que tienen beneficios o promociones.,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Poco clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,nan,Promociones y descuentos,nan,Similares,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Perchas clasificadas por problemas de piel,GARCIA,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Confiable,Clara,"Sí, claramente",Beneficios claros del producto,nan,nan,nan,nan,nan,Similares,nan,nan,nan,"Precio, Producto",Calidad,Algo,En parte,Personal capacitado,nan,nan,nan,nan,La atencion,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,En parte,nan,nan,nan,Consejos de expertos,Promociones y descuentos,nan,Similares,nan,nan,Precio,Producto,Calidad,Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,nan,nan,nan,Asesoría según el tipo de piel del cliente,Quito,Quito
Sí,"No, nunca",Poco asociada,Básica,Poco clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,Precio,nan,"Calidad, Producto",Algo,En parte,Personal capacitado,nan,nan,nan,nan,No lo cambiaría nada,1712905502,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,Promociones y descuentos,nan,Similares,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,Test de piel,nan,nan,Promocionar en redes sociales,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,nan,Antes y después / resultados,nan,nan,nan,Similares,nan,nan,Precio,"Calidad, Producto",nan,Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,Más ofertas,Quito,Quito
Sí,"No, nunca",Nada asociada,Confiable,Poco clara,No,nan,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,nan,nan,Más altos,nan,nan,"Precio, Calidad",nan,Producto,Poco,En parte,nan,Recomendaciones dermatológicas,nan,nan,Opiniones de otros clientes,MEJOR ATENCION EN DERMO,QUITO,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,En parte,nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Algo,En parte,Personal capacitado,nan,nan,nan,nan,Asesoría completa no solo impulsadoras,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,nan,Antes y después / resultados,nan,nan,nan,Similares,"Precio, Calidad, Producto",nan,nan,nan,nan,Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,nan,nan,nan,mas farmacias sercanas,quito valle de los chillos,Quito
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Cayambe,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Experta,Muy clara,"Sí, claramente",Beneficios claros del producto,Recomendaciones según tipo de piel,nan,nan,Promociones y descuentos,nan,Similares,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Precios,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,nan,nan,Promociones y descuentos,nan,Similares,nan,nan,nan,Precio,"Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,nan,Test de piel,nan,nan,Los precios,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,"Sí, claramente",nan,nan,nan,nan,Promociones y descuentos,nan,Similares,nan,nan,Precio,"Calidad, Producto",nan,Mucho,En parte,nan,Recomendaciones dermatológicas,Test de piel,nan,nan,Los precios,QUITO,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Experta,Muy clara,"Sí, claramente",nan,nan,Antes y después / resultados,nan,nan,nan,Similares,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Nada,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,En parte,Beneficios claros del producto,nan,nan,nan,nan,nan,Más altos,nan,nan,nan,"Precio, Calidad, Producto",nan,Algo,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,Test de piel,Contenido educativo,nan,Con personal capacitado que te realicen test de piel para referir productos pero que estén al alcance de la mayoría de gente,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Confiable,Clara,En parte,nan,nan,nan,nan,nan,Comparación entre productos,Más altos,nan,nan,Producto,Calidad,Precio,Algo,En parte,nan,Recomendaciones dermatológicas,nan,nan,nan,La atención no vender por vender,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Poco clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,nan,Consejos de expertos,Promociones y descuentos,nan,Más altos,nan,nan,Precio,"Calidad, Producto",nan,Algo,En parte,Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Dar a conocer más del producto y explicar sus beneficios,Quito,Quito
No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Algo asociada,Básica,Poco clara,No,Beneficios claros del producto,Recomendaciones según tipo de piel,Antes y después / resultados,Consejos de expertos,nan,nan,Similares,nan,nan,Precio,"Calidad, Producto",nan,Poco,No,Personal capacitado,Recomendaciones dermatológicas,nan,nan,nan,Gente especializada,Quito,Quito
Sí,"No, nunca",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,nan,nan,nan,Promociones y descuentos,nan,Similares,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,"Sí, totalmente",nan,nan,Test de piel,nan,nan,Atención más detallada,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Algo asociada,Económica,Muy clara,"Sí, claramente",nan,nan,nan,Consejos de expertos,nan,nan,Similares,Precio,nan,nan,"Calidad, Producto",nan,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Tener una señorita con experiencia,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Experta,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,Producto,Calidad,nan,Precio,nan,Algo,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,Variedad y descuentos,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,En parte,nan,Recomendaciones según tipo de piel,nan,Consejos de expertos,Promociones y descuentos,nan,Más altos,nan,nan,Precio,"Calidad, Producto",nan,Mucho,En parte,nan,Recomendaciones dermatológicas,Test de piel,nan,nan,"Que haya descuentos en los productos que son los más usados, porque generalmente hay descuentos en productos antiedad.",Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Experta,Muy clara,"Sí, claramente",Beneficios claros del producto,nan,nan,Consejos de expertos,Promociones y descuentos,nan,Similares,nan,nan,Precio,nan,"Calidad, Producto",Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,nan,nan,nan,Consejos,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,nan,Consejos de expertos,Promociones y descuentos,Comparación entre productos,Similares,nan,nan,nan,"Precio, Calidad, Producto",nan,Mucho,En parte,Personal capacitado,nan,nan,nan,nan,.,Quito,Quito
Sí,"Sí, recientemente (últimos 6 meses)",Muy asociada,Confiable,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,Similares,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,"Sí, totalmente",nan,Recomendaciones dermatológicas,Test de piel,nan,nan,Asesoras específicas para cada tipo de producto,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Confiable,Clara,En parte,Beneficios claros del producto,Recomendaciones según tipo de piel,nan,nan,Promociones y descuentos,nan,Más altos,nan,nan,nan,"Precio, Producto",Calidad,Algo,En parte,Personal capacitado,nan,nan,nan,nan,Asesoría y promociones,Quito,Quito
No estoy seguro/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Experta,No la he visto,No he notado su comunicación,nan,Recomendaciones según tipo de piel,nan,nan,nan,nan,No lo sé,Producto,nan,nan,"Precio, Calidad",nan,Mucho,"Sí, totalmente",Personal capacitado,nan,nan,nan,nan,Mas publicodad,Quito,Quito
Sí,"Sí, pero hace más de 6 meses",Muy asociada,Experta,Muy clara,"Sí, claramente",nan,Recomendaciones según tipo de piel,nan,Consejos de expertos,nan,nan,Más bajos que la competencia,nan,nan,nan,nan,"Precio, Calidad, Producto",Mucho,"Sí, totalmente",Personal capacitado,Recomendaciones dermatológicas,Test de piel,nan,nan,Más propaganda,Quito,Quito
